time,artist,song,album,album_label,album_year,note,url
9:20 AM,Aaron Neville,Louisiana 1927,Warm Your Heart,A & M Records,1991,The most powerful version of Randy Newman's song.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:23 AM,Kate & Anna McGarrigle,Tell My Sister,Kate & Anna McGarrigle,Hannibal,1975,I think I love the McGarrigles as much as I love any musicians. I swoon every time I hear this one.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:27 AM,The Unthanks,"Cannily, Cannily",Joy of Living: A Tribute to Ewan MacColl,Compass Records,2015,"I've lost touch with the modern folk music scene - this group has existed for 12 years, and I only just know discovered them on this great tribute album.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:30 AM,Luther Dickinson,Ain't No Grave (Featuring Mavis Staples),"Blues & Ballads (A Folksinger's Songbook), Vol. I & II",New West,2016,Gorgeous meditation on the loss of fathers.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:34 AM,Son Little,Carbon,Son Little,Anti/Epitaph,2015,This guy is starting to sink in for me. Bluesy and punchy.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:37 AM,Parliament,Mothership Connection (Star Child),Mothership Connection,casablanca,1975,"At the age of 17, I saw this tour, saw that mothership descend from the rafters, and had the beginning of a great awakening.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:44 AM,The Fifth Dimension,Blowing Away,Up Up and Away: The Definitive Collection,Arista,1997,They sure did love their Laura Nyro songs.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:46 AM,Lizz Wright,Coming Home,The Orchard,Verve Records,2008,Stunning.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:51 AM,Aoife O'Donovan,Hornets,In the Magic Hour,Yep Roc,2016,She has a luscious voice.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:54 AM,The Wainwright Sisters,Do You Love An Apple,Songs in the Dark,PIAS,2015,An Irish folk song that makes a very effective lullaby.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:01 AM,The Raspberries,Tonight,Greatest,CAPITOL,1975,"When they rocked, they rocked!",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:04 AM,Patti Smith,1959,Peace And Noise,Arista,1997,"I slept through most of 1959, myself, having been born in November, 1958.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:09 AM,Bee Gees,I Can't See Nobody,Bee Gees' 1st,ATCO,1967,The young brothers Gibb fifty years ago.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:12 AM,Bhi Bhiman,Closer to Thee,Rhythm & Reason,Thirty Tigers,2015,He's got a St. Louis background.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:16 AM,Sarah Jarosz,Floating In the Balance,Follow Me Down,Sugar Hill Records,2011,The album cover to this one still freaks me out a bit.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:20 AM,Joan Osborne,You're Gonna Make Me Lonesome When You Go,Songs of Bob Dylan,Womanly Hips Records,2017,An exquisite take on this classic song.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:25 AM,Lizz Wright,Every Grain of Sand,Grace,"Concord Records, Inc. (UMG Account)",2017,"One of Dylan's greatest (and most overlooked) songs, sung about as beautifully as it's possible to imagine.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:31 AM,Gregg Allman,Once I Was,Southern Blood,Rounder,2017,"I could have played Gregg's Dylan cover, but man, this Tim Buckley song is even more perfect right here.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:35 AM,Maura O'Connell,There's No Good Day For Dying,Don't I Know,SUGAR HILL,2004,One of my all-time favorite singers.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:41 AM,Lukas Nelson & Promise of the Real,Forget About Georgia (feat. Lucius),Lukas Nelson & Promise of the Real,Fantasy Records,2017,A song about the intersection of a woman's name and a song that can't leave his mind.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:50 AM,Iron & Wine,Summer Clouds,Beast Epic,Sub Pop,2017,A song that fits this last week of summer.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:53 AM,Pokey LaFarge,Must Be a Reason,Manic Revelations,Pokey Lafarge,2017,I am thinking this Pokey album is his best by far.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:00 AM,Brothers Lazaroff,Day and Night Doina / Five,Laz Jazz at the Bistro,Brothers lazaroff,2017,Their CD release party is tonight and tomorrow at Jazz at the Bistro. This jazz version of the band is killer.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:06 AM,Regina Carter,Ac-cent-tchu-ate the Positive,Ella: Accentuate the Positive,Okeh/Sony Masterworks,2017,"I don't know Miche Braden, who sings this cut, but she's very good - Carter, as always, is fabulous on violin.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:13 AM,Allen Toussaint,West End Blues,The Bright Mississippi,Nonesuch,2009,Toussaint's jazz record at the end of his life remains a thing of beauty.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:17 AM,Ella Fitzgerald,In the Still of the Night,Music & Moonlight: Songbook Selections 1956-1959,Universal,2006,Possibly my fave version of this great Cole Porter song.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:21 AM,Chuck Jackson,Lonely Am I,Best of Chuck Jackson The Great Recordings,Rhino,1995,Great 1963 soul!,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:24 AM,Luther Ingram,Trying to Find My Love,Let's Steal Away to the Hideaway / Do You Love Somebody,Kent,2009,An overlooked soul singer from the 70s.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:27 AM,Don Bryant,How Do I Get There?,Don't Give up on Love,Fat Possum,2017,"Ann Peebles' husband, a great songwriter and singer himself.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:32 AM,Poi Dog Pondering,Collarbone,Volo Volo,Columbia,1992,"One of the greatest live bands I ever saw, and I saw them a bunch.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:36 AM,Offa Rex,The Queen of Hearts,The Queen of Hearts,Nonesuch,2017,Olivia Chaney plus the Decemberists - excellent combination.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:41 AM,Kacy & Clayton,A Lifeboat,The Siren's Song,New West Records,2017,More folk rock beauty.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:46 AM,Paul Simon,Take Me to the Mardi Gras (Acoustic Version),There Goes Rhymin' Simon,Warner Brothers.,2004,"I don't usually play demo versions on this show, but this version is so gorgeous.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:48 AM,Old Salt Union,You Can Call Me Al,Old Salt Union,Compass Records,2017,St. Louis bluegrass take on Paul Simon.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
8:53 AM,The Roches,Keep On Doing What You Do / Jerks On the Loose,Keep On Doing,Warner Brothers.,1982,I was lucky enough to see these guys twice in the 80s. One of my all-time favorite groups.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:01 AM,Husker Du,Green Eyes,Flip Your Wig,SST,1985,"Grant Hart passed away yesterday, age 56, from cancer.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:04 AM,Husker Du,Pink Turns to Blue,Zen Arcade,SST,1984,This band meant so very much to me in the 80s - and I still love these old records.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:06 AM,Husker Du,She Floated Away,Warehouse: Songs and Stories,Warner Bros.,1987,It's funny to think back at how controversial it was when they signed to Warner Brothers to release this record.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:10 AM,Karate Bikini,Guided By Morphine,Chimera,self-released,2017,St. Louis band about to release a new record at last. I love the cover art.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:13 AM,Big Star’s Third Live,In the Street (feat. Brett Harris & Mike Mills) (Live),"Thank You, Friends: Big Star's Third Live... And More (Alex Theatre, Glendale, CA / 4/27/2016)","Concord Records, Inc. (UMG Account)",2017,Great job on this masterpiece of a song.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:16 AM,Alex Chilton,The EMI Song (Smile For Me),1970,Ardent,1996,"Before Big Star, after the Box Tops.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:21 AM,Bryan Ferry,In Your Mind,In Your Mind,Virgin,1977,"While I was graduating high school and starting college, Bryan Ferry was singing this song.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:27 AM,Captain Beefheart & his Magic Band,Harry Irene,Shiny Beast (Bat Chain Puller),Rhino/Warner Bros.,1978,"And then the next year, Beefheart came up with this one.",https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:30 AM,David Olney,Sweet Sugaree,Don't Try To Fight It,Red Parlor Records,2017,He's making such strong rock music for a singer/songwriter folkie.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:34 AM,Dion,Drip Drop,The Essential Dion,Sony,2005,One of America's greatest singers!,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:36 AM,Tanya Tucker,San Antonio Stroll,Tanya Tucker's Greatest Hits,MCA,1978,When will she get her long overdue revival?,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:40 AM,Bobby Bare,Ain't No Sure Thing,Things Change,BFD Records,2017,The old man still kicks butt.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:43 AM,Dan Auerbach,Shine On Me,Waiting on a Song,Nonesuch,2017,I get all excited every time I hear songs from this album.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:47 AM,Ricky Nelson,Believe What You Say,"The Legendary Masters Series, Vol. 1",EMI/EMI Records (USA),1991,Featuring the incredible guitar of James Burton.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:49 AM,Jimmy McCracklin,Get Back,The Walk - Jimmy McCracklin At His Best,Razor & Tie,1997,I can see the kids dancing to this one on Bandstand in my head.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:52 AM,Bill Doggett,Back Door,Honky Tonk - The Best Of Bill Doggett,Classic Music International,2010,Classic overdriven instrumental of the late 50s.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
9:55 AM,Count Basie & Tony Bennett,I Guess I'll Have to Change My Plans,"Basie Swings, Bennett Sings",Roulette,1959,One of Tony Bennett's earliest true jazz records.,https://spinitron.com//KDHX/pl/5325756/Sound-Salvation
7:00 AM,Richard & Linda Thompson,Don't Renege On Our Love,Shoot Out the Lights,Hannibal,1982,"Of all the songs with the word ""renege"" in the title and the chorus, this is my very favorite.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:04 AM,Chris Isaak,Beautiful Homes,San Francisco Days,Reprise,1993,"I'm blanking - who played guitar on this record? I love that tone, and the great taste of his playing.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:08 AM,Bryan Ferry,Casanova,Let's Stick Together,Virgin,1976,An intriguingly seductive remake of a song he'd done a few years earlier with considerably more propulsion.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:11 AM,Harry Nilsson,Good Old Desk,Aerial Ballet,RCA,1968,"I've still got my old desk, too, though it's tucked away where the litter boxes are.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:14 AM,Carole King,Beautiful,The Legendary Demos,Hear Music,2012,Wonderful demo version of a song I've worshipped for 43 years.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:17 AM,Brian Setzer,Let's Shake,Rockabilly Riot! All Original,SURFDOG,2014,"As always, Setzer pulls the lyrical cliches together into a magnificently joyous rock'n'roll gem.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:20 AM,Big Joe Turner,Honey Hush,Atlantic Rhythm And Blues:  1947-1974,Atlantic,1985,Let it roll like a big wheel in a Georgia cotton field.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:23 AM,Hank Williams,Your Cheatin' Heart,Gold,MERCURY NASHVILLE,2005,"Well, yeah, this one stands the test of time, doesn't it?",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:26 AM,Ray Charles,Hit the Road Jack,The Genius Hits the Road,Polydor,1960,"Written by the poet of the blues, Percy Mayfield.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:29 AM,Clifton Chenier,Ay-Te Te-Fee,Zodico Blue & Boogie,Specialty,1955,When zydeco was so new they didn't even agree how it should be spelled.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:31 AM,Carlene Carter,I'll Be All Smiles Tonight,Carter Girl,New Rounder,2014,I love this record more and more as I keep being drawn to its perfect synthesis of timeless and timely.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:36 AM,Nickel Creek,Hayloft,A Dotted Line,Nonesuch,2014,Let's dance!,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:40 AM,Kelis,Change,Food,Ninja Tune,2014,"Sadly, my prediction that she would be the breakout artist at Loufest won't come true, as I've been told she's dropped off the bill in favor of Yo La Tengo.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:43 AM,St. Paul & The Broken Bones,Don't Mean a Thing,Half the City,Thirty Tigers,2014,Some days I think the horns are the coolest thing about this band.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:47 AM,The Feed,Stella,Outsider,self,2014,St. Louis band finally has a full-length document showing how cool they are.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:49 AM,The Teardrop Explodes,Colours Fly Away,Wilder,Mercury,1981,"Julian Cope, back when he was first proving you would never know what to expect next from him.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:52 AM,Empty Hearts,Soul Hearts,The Empty Hearts,Savoy,2014,"Wally Palmar of the Romantics, Eliot Easton of the Cars, Clem Burke of Blondie, and Andy Babiuk of the Chesterfield Kings. Veterans rock hard!",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:00 AM,Curtis Mayfield,Give Me Your Love,Superfly,Curtom Records,1972,A sweetly seductive groove.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:05 AM,BRASS CONSTRUCTION,L-O-V-E-U,In Yo' Face: The History of Funk Vol. 4,Rhino,1993,A funky gem I'd almost forgotten.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:08 AM,Orquesta Melodias Del 40,Me Voy Pa' Moron,The Rough Guide to Cuban Son,World Music Network,2000,"Oh, I can just eat this stuff up all day long.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:13 AM,Sweet Honey In The Rock,That Awful Day Will Surely Come,The Women Gather,Earthbeat,2003,I was lucky enough to see these women (with varying line-ups) some 13 or 14 times. Those shows are among the greatest musical experiences of my life.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:16 AM,"Crosby, Stills, Nash & Young",Time After Time,CSNY 1974,Rhino,2014,"I do remember listening to the Crosby-Nash album Whistling Down the Wire at least once a million years ago, but I don't remember anything on it. So, this track on the new live box really stunned me.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:19 AM,John Fogerty,River Is Waiting,Revival,Fantasy,2007,"I'd rank this among Fogerty's greatest songs, which is saying plenty, I know.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:23 AM,The Jayhawks,Smile,Smile,American,2000,"With soaring harmonies and elegant melodies like this, of course you want to smile.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:27 AM,Bee Gees,Run To Me,To Whom It May Concern,ATCO,1972,"I think what I just said about the Jayhawks applies here, too.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:31 AM,The Psycho Sisters,Wish You,"Up On the Chair, Beatrice",Rockbeat,2014,Vicki Peterson and Susan Cowsill. Magnificent pop music.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:35 AM,Cave States,Wherever You Go,The Great Divide,Undertow,2013,This record by Danny Kathriner and Chris Grabau is so damn good.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:39 AM,Chris Smither,Call Time,Still On The Levee,Signature Sounds,2014,"He did this song about 11 years ago, but I really like the in-your-face approach of this version.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:44 AM,Mary Gauthier,Trouble and Love,Trouble & Love,Proper Records,2014,One of the finest songwriters working today - she is so good at putting together all the right details.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:50 AM,Bobbie Gentry,Billy the Kid,An American Quilt 1967-1974,Raven,2002,She had so much more than just one song.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
8:53 AM,Maddy Prior,Winnifer Odd,Shining Bright: The Songs of Lal & Mike Waterson,Topic,2000,A magnificent version of a magnificent song.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:00 AM,Gedeon Luke and the People,The Hurting Kind,Live Free & Love,"Monocentric Music, LLC",2014,One of the best of the new soul revivalists.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:04 AM,Jimmy James & The Vagabonds,Cry Like a Baby,Vagabond King: The Sixties Sides,SEQUEL,1997,Great version of the Box Tops classic.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:07 AM,Magic Sam Blues Band,San-Ho-Zay,Live at the Avant Garde,Delmark,2014,A scorching Magic Sam live instrumental.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:12 AM,St. Louis Jimmy,Going Down Slow,When the Sun Goes Down Vol. 3: That's Chicago's South Side,Bluebird,2002,"He lived here, but he recorded this masterpiece in Chicago back in 1941.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:15 AM,Lonnie Johnson,Love Is the Answer,A Life in Music: Selected Sides 1925-1953,JSP,2009,"On the fence between blues and jazz, and always wonderful.",https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:19 AM,The Animals,Bright Lights Big City,The Singles Plus,Parlophone UK,2000,Everything these guys touched was instantly their own - nothing intimidated them.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:22 AM,Dennis Wilson,School Girl,Pacific Ocean Blue / Bambu (Deluxe Legacy Edition),Sundazed,1977,Dennis Wilson made some pretty darn impressive music on his own.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:24 AM,Pete Townshend & Ronnie Lane,My Baby Gives It Away,Rough Mix,MCA,1977,One of Townshend's finest non-Who songs.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:29 AM,Manfred Mann,Machines,Best of Manfred Mann: The Definitive Collection,EMI,1992,Some pretty impressive oddball sounds for 1966.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:32 AM,The Jam,Carnation,The Gift,Polydor,1982,A late period classic Jam melodic touch.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:35 AM,Guided By Voices,The No Doubters,Cool Planet,GBV Inc,2014,Mean nasty sounding rock song.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:38 AM,Tom Petty & The Heartbreakers,Power Drunk,Hypnotic Eye,Warner Brothers.,2014,This is one hypnotic groove.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:43 AM,Ramones,Little Bit O' Soul,Subterranean Jungle,sire,1983,I always liked their version of this song.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:46 AM,Ransom Note,Georgia,Big Soul,Tower Groove Records,2013,Intoxicating and soulful.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:50 AM,Merle Haggard,Always Wanting You,20 Number One Hits,Varese Sarabande,2000,Simply beautiful.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
9:53 AM,Chuck Mead,Ten Light Years Away,Free State Serenade,Plowboy Records,2014,Ending up with some rocking country.,https://spinitron.com//KDHX/pl/5362407/Sound-Salvation
7:01 AM,The Chi-Lites,(For God's Sake) Give More Power to the People,Original Brunswick Hit Recordings,Brunswick Records,2009,"I fell in love with this record at age 12, staying in for recess, while the girls played all the hits and choreographed dances to them.",https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:04 AM,The Undisputed Truth,Like A Rolling Stone,The Undisputed Truth,UNI/MOTOWN,1971,Norman Whitfield's production of this group was so dang great!,https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:11 AM,Prince,Letitgo,Come,Rhino/Warner Records,1994,I think this was the last record before he switched to using that symbol for his name. ,https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:16 AM,The Weather Station,Loving You,How Is It That I Should Look At The Stars,Next Door Records,2022,"Bare bones production this time, lovely songs. ",https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:21 AM,Hurray for the Riff Raff,ROSEMARY TEARS,LIFE ON EARTH,Nonesuch,2022,The most annoying trend in the last year or two is the excess or absence of capitalization in song and album titles. But the music is still good. ,https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:24 AM,Amanda Anne Platt & The Honeycutters,Dallas,The Devil and the Deep Blue Sea,Organic Records,2022,"They've been popping out albums pretty regularly for ten years out of North Carolina, but I only first heard them with this new one. ",https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:28 AM,Brownsville Station,Combination Boogie,Motor City Connection,Rhino Atlantic,1975,"In between their minor hits, these guys pumped out some solid workingman's rock'n'roll. ",https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:31 AM,Bill Doggett,Doctor Joy,Honky Tonk A-La Mod!,Roulette,1966,Doggett just kept on making instrumental delights his whole life. ,https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
7:35 AM,Charlie Rich,Time and Again,The Sun Years 1957-1962,Bear Family Records GmbH,2012,Really one of the greatest American singers.,https://spinitron.com//KDHX/pl/15937032/Sound-Salvation
